Date,Machine_ID,Shift,Plant_Location,Planned_Production_Time,Downtime,Ideal_Cycle_Time,Downtime_Reason,Operating_Time,Total_Production,Defective_Production,Good_Production,Availability,Performance,Quality,OEE
2024-04-12,M3,B,Chennai,478,44.0,1.1913677913817158,Power Failure,434.0,252,8.0,244.0,0.9079497907949791,0.6917619433829317,0.9682539682539683,0.6081459018768591
2024-12-14,M1,C,Pune,447,98.0,0.9440648554652804,Maintenance,349.0,301,11.0,290.0,0.7807606263982103,0.8142221246276486,0.9634551495016611,0.6124805549998463
2024-09-27,M4,A,Pune,465,23.0,0.938672523034942,Power Failure,442.0,425,10.0,415.0,0.9505376344086022,0.9025697336874443,0.9764705882352941,0.8377399936763461
2024-04-16,M3,B,Mumbai,425,61.0,1.1913677913817158,Setup,364.0,249,11.0,238.0,0.8564705882352941,0.8149741210276022,0.9558232931726908,0.6671659631737609
2024-03-12,M1,C,Pune,466,90.0,0.9805045078032586,Maintenance,376.0,324,11.0,313.0,0.8068669527896996,0.8449028205538718,0.9660493827160493,0.658579208030944
2024-07-07,M2,B,Chennai,433,41.0,0.8065156764784349,Power Failure,392.0,389,41.0,348.0,0.9053117782909931,0.8003433626278347,0.8946015424164524,0.6481927376778184
2024-01-21,M1,A,Pune,426,100.0,0.8299195312295117,Setup,326.0,368,13.0,355.0,0.7652582159624414,0.9368416794247248,0.9646739130434783,0.6915996093579264
2024-04-12,M4,C,Chennai,429,59.0,0.9617172338858196,Setup,370.0,286,8.0,278.0,0.8624708624708625,0.743381429436066,0.972027972027972,0.6232107016789227
2024-05-01,M4,B,Mumbai,434,36.8,0.8466000979617994,Breakdown,397.2,392,7.0,385.0,0.9152073732718894,0.835516712993518,0.9821428571428571,0.7510162159338544
2024-08-02,M4,C,Chennai,450,22.0,0.9368898096926396,Power Failure,428.0,360,8.0,352.0,0.9511111111111111,0.7880381576853978,0.9777777777777777,0.7328560289151314
2024-11-26,M4,A,Pune,448,52.0,0.89979745275496,Power Failure,396.0,392,10.0,382.0,0.8839285714285714,0.890708589595819,0.9744897959183674,0.7672380065901668
2024-03-28,M4,C,Chennai,461,66.69999999999999,0.9864564288141562,Breakdown,394.3,311,4.0,307.0,0.8553145336225597,0.7780571883368058,0.9871382636655949,0.6569243463035703
